City,Sample,rank,geodist,Latitude,Longitude
Atlanta,1,21,6.9,33.8157711274426,-84.2939179448387
Atlanta,1,5,6.9,33.8260975182951,-84.2939179448387
Atlanta,1,5,6.9,33.8364239091475,-84.2939179448387
Atlanta,1,5,6.9,33.8467503,-84.2939179448387
Atlanta,1,5,6.9,33.8570766908525,-84.2939179448387
Atlanta,1,5,6.9,33.8674030817049,-84.2939179448387
Atlanta,1,4,6.9,33.8777294725574,-84.2939179448387
Atlanta,1,3,6.9,33.8880558634099,-84.2939179448387
Atlanta,1,3,6.9,33.8983822542623,-84.2939179448387
Atlanta,1,9,6.9,33.9087086451148,-84.2939179448387
Atlanta,1,11,7,33.9190350359672,-84.2939179448387
Atlanta,1,13,8.3,33.7744655640328,-84.2814844538065
Atlanta,1,14,8.3,33.7847919548852,-84.2814844538065
Atlanta,1,7,8.3,33.7951183457377,-84.2814844538065
Atlanta,1,6,8.3,33.8054447365901,-84.2814844538065
Atlanta,1,6,8.3,33.8157711274426,-84.2814844538065
Atlanta,1,5,8.3,33.8260975182951,-84.2814844538065
Atlanta,1,4,8.3,33.8364239091475,-84.2814844538065
Atlanta,1,4,8.3,33.8467503,-84.2814844538065
Atlanta,1,4,8.3,33.8570766908525,-84.2814844538065
Atlanta,1,5,8.3,33.8674030817049,-84.2814844538065
Atlanta,1,4,8.3,33.8777294725574,-84.2814844538065
Atlanta,1,3,8.3,33.8880558634099,-84.2814844538065
Atlanta,1,3,8.3,33.8983822542623,-84.2814844538065
Atlanta,1,5,8.3,33.9087086451148,-84.2814844538065
Atlanta,1,21,8.3,33.9190350359672,-84.2814844538065
Atlanta,1,17,9.7,33.7744655640328,-84.2690509627742
Atlanta,1,9,9.7,33.7847919548852,-84.2690509627742
Atlanta,1,4,9.7,33.7951183457377,-84.2690509627742
Atlanta,1,4,9.7,33.8054447365901,-84.2690509627742
Atlanta,1,4,9.7,33.8157711274426,-84.2690509627742
Atlanta,1,19,9.7,33.8260975182951,-84.2690509627742
Atlanta,1,2,9.7,33.8364239091475,-84.2690509627742
Atlanta,1,2,9.7,33.8467503,-84.2690509627742
Atlanta,1,2,9.7,33.8570766908525,-84.2690509627742
Atlanta,1,2,9.7,33.8674030817049,-84.2690509627742
Atlanta,1,3,9.7,33.8777294725574,-84.2690509627742
Atlanta,1,2,9.7,33.8880558634099,-84.2690509627742
Atlanta,1,2,9.7,33.8983822542623,-84.2690509627742
Atlanta,1,3,9.7,33.9087086451148,-84.2690509627742
Atlanta,1,8,9.7,33.9190350359672,-84.2690509627742
Atlanta,10,16,9.7,33.7743486640328,-84.4540952181398
Atlanta,10,8,9.7,33.7846750548852,-84.4540952181398
Atlanta,10,6,9.7,33.7950014457377,-84.4540952181398
