City,Sample,drop,geodist,rank,Latitude,Longitude
Atlanta,01,11,5.583,12,33.9190350359672,-84.306351435871
Atlanta,01,20,6.954,21,33.7744655640328,-84.2939179448387
Atlanta,01,15,6.942,16,33.7847919548852,-84.2939179448387
Atlanta,01,7,6.932,8,33.7951183457377,-84.2939179448387
Atlanta,01,6,6.924,7,33.8054447365901,-84.2939179448387
Atlanta,01,20,6.917,21,33.8157711274426,-84.2939179448387
Atlanta,01,4,6.913,5,33.8260975182951,-84.2939179448387
Atlanta,01,4,6.91,5,33.8364239091475,-84.2939179448387
Atlanta,01,4,6.909,5,33.8467503,-84.2939179448387
Atlanta,01,4,6.91,5,33.8570766908525,-84.2939179448387
Atlanta,01,4,6.913,5,33.8674030817049,-84.2939179448387
Atlanta,01,3,6.917,4,33.8777294725574,-84.2939179448387
Atlanta,01,2,6.924,3,33.8880558634099,-84.2939179448387
Atlanta,01,2,6.932,3,33.8983822542623,-84.2939179448387
Atlanta,01,8,6.942,9,33.9087086451148,-84.2939179448387
Atlanta,01,10,6.954,11,33.9190350359672,-84.2939179448387
Atlanta,01,12,8.328,13,33.7744655640328,-84.2814844538065
Atlanta,01,13,8.318,14,33.7847919548852,-84.2814844538065
Atlanta,01,6,8.31,7,33.7951183457377,-84.2814844538065
Atlanta,01,5,8.303,6,33.8054447365901,-84.2814844538065
Atlanta,01,5,8.298,6,33.8157711274426,-84.2814844538065
Atlanta,01,4,8.294,5,33.8260975182951,-84.2814844538065
Atlanta,01,3,8.291,4,33.8364239091475,-84.2814844538065
Atlanta,01,3,8.291,4,33.8467503,-84.2814844538065
Atlanta,01,3,8.291,4,33.8570766908525,-84.2814844538065
Atlanta,01,4,8.294,5,33.8674030817049,-84.2814844538065
Atlanta,01,3,8.298,4,33.8777294725574,-84.2814844538065
Atlanta,01,2,8.303,3,33.8880558634099,-84.2814844538065
Atlanta,01,2,8.31,3,33.8983822542623,-84.2814844538065
Atlanta,01,4,8.318,5,33.9087086451148,-84.2814844538065
Atlanta,01,20,8.328,21,33.9190350359672,-84.2814844538065
Atlanta,01,16,9.705,17,33.7744655640328,-84.2690509627742
Atlanta,01,8,9.696,9,33.7847919548852,-84.2690509627742
Atlanta,01,3,9.689,4,33.7951183457377,-84.2690509627742
Atlanta,01,3,9.683,4,33.8054447365901,-84.2690509627742
Atlanta,01,3,9.678,4,33.8157711274426,-84.2690509627742
Atlanta,01,18,9.675,19,33.8260975182951,-84.2690509627742
Atlanta,01,1,9.673,2,33.8364239091475,-84.2690509627742
Atlanta,01,1,9.672,2,33.8467503,-84.2690509627742
Atlanta,01,1,9.673,2,33.8570766908525,-84.2690509627742
Atlanta,01,1,9.675,2,33.8674030817049,-84.2690509627742
Atlanta,01,2,9.678,3,33.8777294725574,-84.2690509627742
Atlanta,01,1,9.683,2,33.8880558634099,-84.2690509627742
Atlanta,01,1,9.689,2,33.8983822542623,-84.2690509627742
Atlanta,01,2,9.696,3,33.9087086451148,-84.2690509627742
Atlanta,01,7,9.705,8,33.9190350359672,-84.2690509627742
Atlanta,02,3,9.705,21,33.7803404640328,-84.4529405228724
